,eq,60N,60S
1980-11-06,-24.468866847269332,26.201282047654363,21.666036657704044
1980-11-07,-25.131476086695926,27.15316414002536,18.468827981482644
1980-11-08,-25.167754787995175,27.031155119320097,15.397305209150936
1980-11-09,-25.25896145592015,25.070099455469585,12.8964400950471
1980-11-10,-25.26610156451967,24.606518635907022,11.992798294651184
1980-11-11,-25.489201433321362,24.80827998830068,11.366901984736492
1980-11-12,-25.795629010905,25.541575251934002,8.159317575980497
1980-11-13,-26.29133643167048,25.536870780455526,6.438545458581067
1980-11-14,-26.430532378922752,25.858396365123195,5.847305687193975
1980-11-15,-26.75405130256422,26.590325932195583,4.1156997754096585
1980-11-16,-26.59104789715487,25.84974477970786,2.605205295201128
1980-11-17,-27.081233979417686,27.955634557794887,-0.08953043481428583
1980-11-18,-27.568708946733288,29.49191490457457,-1.5631524841673727
1980-11-19,-27.493771645849414,30.836727357190593,-2.941801694907639
1980-11-20,-27.321472117375365,31.104411544037987,-4.583241373644787
1980-11-21,-27.22692763404654,30.96998240730821,-7.003427368592004
1980-11-22,-27.329433566884457,28.839752914979222,-10.351992974831473
1980-11-23,-27.579370773996533,30.294314425066563,-12.663026469816629
1980-11-24,-27.524671683121852,29.940407113991064,-15.899927919564679
1980-11-25,-27.67038170434489,32.04321044155908,-18.59691185034365
1980-11-26,-27.858768384929743,35.02192009145875,-20.77962451506931
1980-11-27,-27.96263709386949,38.30220727639413,-21.75191104900302
1980-11-28,-27.798541809961094,40.90365145512542,-22.283665478954983
1980-11-29,-27.79506936723312,40.87013124788211,-21.711388760891555
1980-11-30,-28.14161615643219,41.82622643742961,-21.57762871206234
1980-12-01,-28.55918598189598,43.21638274420769,-20.924177729867388
1980-12-02,-28.78172537466505,41.76913906145307,-21.199325748766764
1980-12-03,-29.20055739326241,40.47850968962745,-21.928780819664876
1980-12-04,-29.421087293568362,41.456835737983546,-21.07635684139384
1980-12-05,-29.019531518107474,43.19347190576649,-21.132414967960838
1980-12-06,-29.083171157073735,44.419962129535705,-21.479126516891178
